#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
118,Trinidad and Tobago,"191,496",,"4,390                                ",,"187,078",,28,8,"136,143","3,121","913,289","649,295","1,406,585 ",North America,,73202,,,20
119,Maldives,"186,435",,313                                ,,"163,687",,"22,435",25,"344,621",579,"2,213,831","4,092,223","540,985 ",Asia,,"31,7280",,,"41,471"
120,Ghana,"171,657",,"1,462                                ",,"170,161",,34,2,"5,299",45,"2,536,496","78,298","32,395,450 ",Africa,,"18922,15813",,,1
121,Namibia,"171,222",,"4,090                                ",,"167,099",,33,,"65,008","1,553","1,062,663","403,460","2,633,874 ",Africa,,156442,,,13
122,Uganda,"170,647",,"3,632                                ",,"100,431",,"66,584",3,"3,523",75,"3,012,408","62,198","48,432,863 ",Africa,,"28413,33516",,,"1,375"
123,Jamaica,"154,825",,"3,536                                ",,"102,851",,"48,438",,"51,866","1,185","1,183,986","396,633","2,985,094 ",North America,,198443,,,"16,227"
124,Cambodia,"138,733",,"3,056                                ",,"135,675",,2,,"8,081",178,"3,091,420","180,062","17,168,639 ",Asia,,"1245,6186",,,0.1
125,Rwanda,"133,194",,"1,468                                ",,"131,647",,79,,"9,793",108,"6,021,981","442,778","13,600,464 ",Africa,,"1029,2652",,,6
126,Cameroon,"124,983",,"1,971                                ",,"122,807",,205,13,"4,478",71,"1,751,774","62,762","27,911,548 ",Africa,,"22314,16116",,,7
127,Malta,"118,524",,835                                ,,"117,064",,625,4,"266,926","1,880","2,136,024","4,810,507","444,033 ",Europe,,45320,,,"1,408"
128,Barbados,"107,566",,589                                ,,"106,971",,6,,"373,463","2,045","801,451","2,782,594","288,023 ",North America,,34890,,,21
129,Angola,"105,384",,"1,934                                ",,"103,419",,31,,"3,009",55,"1,499,795","42,818","35,027,343 ",Africa,,"33218,11123",,,0.9
